Date,Symbol,Invested Amount,Absolute Profit,Yield Per Day,Age of Stock,Profit Percentage,ROI per day
2025-09-09,AARTIIND,40887.2,-13727.2,0.0,0.0,-33.57,0.0
2025-09-09,AWFIS,13718.5,16.7,0.0,0.0,0.12,0.0
2025-09-09,BAJAJHFL,24569.0,-1977.3,0.0,0.0,-8.05,0.0
2025-09-09,BODALCHEM,9945.0,-1.5,0.0,0.0,-0.02,0.0
2025-09-09,CENTRALBK,29827.0,-525.6,0.0,0.0,-1.76,0.0
2025-09-09,CMSINFO,28808.8,-1755.8,0.0,0.0,-6.09,0.0
2025-09-09,COALINDIA,12516.2,287.8,0.0,0.0,2.3,0.0
2025-09-09,DATAPATTNS,13289.5,-491.0,0.0,0.0,-3.69,0.0
2025-09-09,ELECTCAST,28519.7,-5839.4,0.0,0.0,-20.47,0.0
2025-09-09,FIVESTAR,35878.1,-4087.1,0.0,0.0,-11.39,0.0
2025-09-09,GAEL,16487.3,-642.8,0.0,0.0,-3.9,0.0
2025-09-09,HCLTECH,11320.0,103.6,0.0,0.0,0.92,0.0
2025-09-09,INDUSTOWER,14528.2,379.9,0.0,0.0,2.61,0.0
2025-09-09,INFY,17248.2,-700.9,0.0,0.0,-4.06,0.0
2025-09-09,INOXWIND,30108.9,-3592.4,0.0,0.0,-11.93,0.0
2025-09-09,IRCTC,38434.3,-9906.3,0.0,0.0,-25.77,0.0
2025-09-09,ITC,14676.0,85.8,0.0,0.0,0.58,0.0
2025-09-09,ITDC,22339.9,3804.1,0.0,0.0,17.03,0.0
2025-09-09,JINDALSAW,29474.3,-1819.5,0.0,0.0,-6.17,0.0
2025-09-09,JSWENERGY,14460.0,-289.2,0.0,0.0,-2.0,0.0
2025-09-09,KPL,19549.5,-789.5,0.0,0.0,-4.04,0.0
2025-09-09,LEHAR,9720.0,108.0,0.0,0.0,1.11,0.0
2025-09-09,LODHA,22107.2,-1004.0,0.0,0.0,-4.54,0.0
2025-09-09,LUXIND,30939.6,-2295.6,0.0,0.0,-7.42,0.0
2025-09-09,MGL,18230.0,-1720.0,0.0,0.0,-9.43,0.0
2025-09-09,NAHARINDUS,29971.6,-2060.6,0.0,0.0,-6.88,0.0
2025-09-09,ONGC,15018.0,-444.2,0.0,0.0,-2.96,0.0
2025-09-09,PERSISTENT,10480.0,-243.4,0.0,0.0,-2.32,0.0
2025-09-09,PFC,11297.5,96.6,0.0,0.0,0.86,0.0
2025-09-09,POLYPLEX,33430.3,-3861.9,0.0,0.0,-11.55,0.0
2025-09-09,RAJESHEXPO,33522.0,-13720.0,0.0,0.0,-40.93,0.0
2025-09-09,SOLARINDS,46550.0,-4835.0,0.0,0.0,-10.39,0.0
2025-09-09,SONACOMS,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-09,STERTOOLS,13312.2,1200.3,0.0,0.0,9.02,0.0
2025-09-09,TATAMOTORS,52964.8,-10031.8,0.0,0.0,-18.94,0.0
2025-09-09,TATATECH,28886.7,-1692.7,0.0,0.0,-5.86,0.0
2025-09-09,TCS,9353.7,-205.4,0.0,0.0,-2.2,0.0
2025-09-09,ZAGGLE,9750.0,-42.9,0.0,0.0,-0.44,0.0
2025-09-10,AARTIIND,40887.2,-13688.7,0.0,0.0,-33.48,0.0
2025-09-10,AWFIS,13718.5,-42.1,0.0,0.0,-0.31,0.0
2025-09-10,BAJAJHFL,24569.0,-1945.0,0.0,0.0,-7.92,0.0
2025-09-10,BODALCHEM,9945.0,102.5,0.0,0.0,1.03,0.0
2025-09-10,CENTRALBK,24542.1,-12.1,0.0,0.0,-0.05,0.0
2025-09-10,CMSINFO,28808.8,-1092.8,0.0,0.0,-3.79,0.0
2025-09-10,COALINDIA,12516.1,403.4,0.0,0.0,3.22,0.0
2025-09-10,DATAPATTNS,13118.1,-284.6,0.0,0.0,-2.17,0.0
2025-09-10,ELECTCAST,28519.7,-5917.6,0.0,0.0,-20.75,0.0
2025-09-10,FIVESTAR,35878.1,-3793.1,0.0,0.0,-10.57,0.0
2025-09-10,GAEL,13189.8,-169.8,0.0,0.0,-1.29,0.0
2025-09-10,HCLTECH,11320.0,402.4,0.0,0.0,3.55,0.0
2025-09-10,INDUSTOWER,14528.2,459.4,0.0,0.0,3.16,0.0
2025-09-10,INFY,14006.8,-218.8,0.0,0.0,-1.56,0.0
2025-09-10,INOXWIND,30108.9,-3139.9,0.0,0.0,-10.43,0.0
2025-09-10,IRCTC,38434.3,-9716.3,0.0,0.0,-25.28,0.0
2025-09-10,ITC,14676.0,163.2,0.0,0.0,1.11,0.0
2025-09-10,ITDC,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-10,JINDALSAW,29474.3,-1849.7,0.0,0.0,-6.28,0.0
2025-09-10,JSWENERGY,14460.0,77.6,0.0,0.0,0.54,0.0
2025-09-10,KPL,14662.1,-262.1,0.0,0.0,-1.79,0.0
2025-09-10,LEHAR,9720.0,36.0,0.0,0.0,0.37,0.0
2025-09-10,LODHA,22107.2,-887.0,0.0,0.0,-4.01,0.0
2025-09-10,LUXIND,30939.6,-1954.6,0.0,0.0,-6.32,0.0
2025-09-10,MGL,18230.0,-1539.3,0.0,0.0,-8.44,0.0
2025-09-10,NAHARINDUS,29971.6,-1591.3,0.0,0.0,-5.31,0.0
2025-09-10,ONGC,15018.0,-433.5,0.0,0.0,-2.89,0.0
2025-09-10,PERSISTENT,10480.0,359.0,0.0,0.0,3.43,0.0
2025-09-10,PFC,11297.5,237.3,0.0,0.0,2.1,0.0
2025-09-10,POLYPLEX,33430.3,-3531.3,0.0,0.0,-10.56,0.0
2025-09-10,RAJESHEXPO,33522.0,-13490.0,0.0,0.0,-40.24,0.0
2025-09-10,SOLARINDS,46550.0,-4841.0,0.0,0.0,-10.4,0.0
2025-09-10,STERTOOLS,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-10,TATAMOTORS,52964.8,-10514.8,0.0,0.0,-19.85,0.0
2025-09-10,TATATECH,25275.9,-634.1,0.0,0.0,-2.51,0.0
2025-09-10,TCS,9353.7,-25.8,0.0,0.0,-0.28,0.0
2025-09-10,ZAGGLE,9750.0,-37.7,0.0,0.0,-0.39,0.0
2025-09-11,CENTRALBK,24412.9,232.4,232.4,1.0,0.95,0.95
2025-09-11,AWFIS,19988.5,85.8,85.8,1.0,0.43,0.43
2025-09-11,LEHAR,9990.5,45.7,45.7,1.0,0.46,0.46
2025-09-11,AARTIIND,40887.2,-13447.2,0.0,0.0,-32.89,0.0
2025-09-11,BAJAJHFL,24569.0,-1955.1,0.0,0.0,-7.96,0.0
2025-09-11,BODALCHEM,9945.0,228.0,0.0,0.0,2.29,0.0
2025-09-11,COALINDIA,12516.1,464.4,0.0,0.0,3.71,0.0
2025-09-11,DATAPATTNS,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-11,ELECTCAST,28519.7,-5982.0,0.0,0.0,-20.97,0.0
2025-09-11,FIVESTAR,35878.1,-4045.1,0.0,0.0,-11.27,0.0
2025-09-11,GAEL,13077.2,512.8,0.0,0.0,3.92,0.0
2025-09-11,HCLTECH,11320.0,422.8,0.0,0.0,3.73,0.0
2025-09-11,INDUSTOWER,14528.2,655.1,0.0,0.0,4.51,0.0
2025-09-11,INFY,13854.6,-269.1,0.0,0.0,-1.94,0.0
2025-09-11,INOXWIND,30108.9,-3234.1,0.0,0.0,-10.74,0.0
2025-09-11,IRCTC,38434.3,-9646.3,0.0,0.0,-25.1,0.0
2025-09-11,ITC,14676.0,265.8,0.0,0.0,1.81,0.0
2025-09-11,JSWENERGY,14460.0,143.4,0.0,0.0,0.99,0.0
2025-09-11,KPL,14624.7,-85.2,0.0,0.0,-0.58,0.0
2025-09-11,LUXIND,30939.6,-1721.4,0.0,0.0,-5.56,0.0
2025-09-11,MGL,18230.0,-1316.3,0.0,0.0,-7.22,0.0
2025-09-11,NAHARINDUS,29971.6,-2048.2,0.0,0.0,-6.83,0.0
2025-09-11,ONGC,15018.0,-291.1,0.0,0.0,-1.94,0.0
2025-09-11,PERSISTENT,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-11,PFC,11297.5,289.5,0.0,0.0,2.56,0.0
2025-09-11,RAJESHEXPO,33522.0,-13422.0,0.0,0.0,-40.04,0.0
2025-09-11,SOLARINDS,46550.0,-4580.0,0.0,0.0,-9.84,0.0
2025-09-11,TATAMOTORS,52964.8,-10613.8,0.0,0.0,-20.04,0.0
2025-09-11,TATATECH,25068.7,-509.2,0.0,0.0,-2.03,0.0
2025-09-11,TCS,9353.7,18.1,0.0,0.0,0.19,0.0
2025-09-11,ZAGGLE,9750.0,-172.9,0.0,0.0,-1.77,0.0
2025-09-11,LODHA,29187.2,-810.8,-810.8,1.0,-2.78,-2.78
2025-09-11,CMSINFO,29656.6,-1292.1,-1292.1,1.0,-4.36,-4.36
2025-09-11,JINDALSAW,29884.1,-1701.9,-1701.9,1.0,-5.69,-5.69
2025-09-11,POLYPLEX,35494.8,-3660.9,-3660.9,1.0,-10.31,-10.31
2025-09-12,KPL,19374.8,386.2,386.2,1.0,1.99,1.99
2025-09-12,CENTRALBK,24412.9,184.9,92.5,2.0,0.76,0.38
2025-09-12,YUKEN,9900.0,44.0,44.0,1.0,0.44,0.44
2025-09-12,LEHAR,9990.5,84.6,42.3,2.0,0.85,0.42
2025-09-12,AARTIIND,40887.2,-13611.7,0.0,0.0,-33.29,0.0
2025-09-12,BODALCHEM,9945.0,108.6,0.0,0.0,1.09,0.0
2025-09-12,COALINDIA,12516.1,492.5,0.0,0.0,3.93,0.0
2025-09-12,ELECTCAST,28519.7,-5956.7,0.0,0.0,-20.89,0.0
